descriptor,perm_importance,perm_std,spearman_vs_pIC50
fr_thiazole,-5.848282501219603e-07,1.8644868112793e-05,-0.010662746733363463
fr_alkyl_carbamate,-2.582399269529523e-06,3.2427229382801514e-06,0.03041458988315767
fr_piperzine,-3.1091668494021007e-06,6.792425545567103e-06,0.05460524350144834
fr_ketone,-5.619991643535105e-06,5.057382961293173e-05,0.01745619787615903
fr_unbrch_alkane,-8.124911583773375e-06,6.995564011834936e-05,0.04428366986570104
fr_Ar_NH,-1.8321876294252747e-05,9.928164931284112e-06,-0.03139603934560977
fr_para_hydroxylation,-2.2668144180459927e-05,2.9099457419563785e-05,0.03972780460010204
fr_nitrile,-3.7057747573682186e-05,4.045927083873236e-05,0.08438061777864268
fr_thiophene,-3.770454748439622e-05,3.047360917077289e-05,-0.08223143827486495
fr_alkyl_halide,-9.916110676626011e-05,0.00013235409077541838,0.2542829616043089
AvgIpc,-0.0002771668095254587,0.0008313926482611547,0.07852270236850385
