repeat,fold,model,MAE
3,6,Ridge,0.6723135707332581
3,6,SVR,0.6136647782460988
3,6,GBM,0.6987821518632448
3,6,RF,0.6537076383194678
3,6,TabPFN,0.5889866077825165
3,7,Ridge,0.6015534308911817
3,7,SVR,0.5522508671195627
3,7,GBM,0.6495844656237649
3,7,RF,0.6010747791085286
3,7,TabPFN,0.6035890385489909
3,8,Ridge,0.6550047901764626
3,8,SVR,0.7116385841847035
3,8,GBM,0.6073673647153411
3,8,RF,0.6344902703847267
3,8,TabPFN,0.5539697619135793
3,9,Ridge,0.5818961290870044
3,9,SVR,0.602312729383157
3,9,GBM,0.5511586895980075
3,9,RF,0.5031562912095733
3,9,TabPFN,0.5010283615582274
4,0,Ridge,0.6745455685396159
4,0,SVR,0.6678221362001683
4,0,GBM,0.6663385972561329
4,0,RF,0.6475173213868647
4,0,TabPFN,0.6156157924135824
4,1,Ridge,0.590743328153678
4,1,SVR,0.6365285960656972
4,1,GBM,0.5701913040457683
4,1,RF,0.5604829314945756
4,1,TabPFN,0.5016528788434854
4,2,Ridge,0.7199909528419646
4,2,SVR,0.627720465779573
4,2,GBM,0.5992209682488226
4,2,RF,0.6094092030433321
4,2,TabPFN,0.5384954115276338
4,3,Ridge,0.6716512185454104
4,3,SVR,0.6999396783925137
4,3,GBM,0.619499100367163
4,3,RF,0.6292472862279653
4,3,TabPFN,0.6007138907012177
4,4,Ridge,0.6310907992700305
4,4,SVR,0.5979422159258456
4,4,GBM,0.646478270638528
4,4,RF,0.6250131351052998
4,4,TabPFN,0.6762392059646097
4,5,Ridge,0.5805632407149811
4,5,SVR,0.5662675667110536
4,5,GBM,0.5013736811102439
4,5,RF,0.469787229194725
4,5,TabPFN,0.4786795665214792
4,6,Ridge,0.6546063622451129
4,6,SVR,0.6752659587615881
4,6,GBM,0.7235299464261041
4,6,RF,0.7190335135417731
4,6,TabPFN,0.6600862653157807
4,7,Ridge,0.5763263042702078
4,7,SVR,0.6215708340657738
4,7,GBM,0.5202314002551373
4,7,RF,0.5682570055603248
4,7,TabPFN,0.4885231444706725
4,8,Ridge,0.5860200041066186
4,8,SVR,0.5865813387547628
4,8,GBM,0.515306362912117
4,8,RF,0.4708826262993161
4,8,TabPFN,0.4614859259938049
4,9,Ridge,0.7115757519439617
4,9,SVR,0.6882560984919625
4,9,GBM,0.6572753734480482
4,9,RF,0.6379435539641847
4,9,TabPFN,0.5452838034860993
0,0,MolFormer,0.7570894077134986
0,1,MolFormer,0.6618842319444443
0,2,MolFormer,0.7446278544444443
0,3,MolFormer,0.9634328463888888
0,4,MolFormer,0.7855234619444444
0,5,MolFormer,0.6445691402777777
0,6,MolFormer,0.7894516391666667
0,7,MolFormer,0.9191480669444444
0,8,MolFormer,0.7009767388888889
0,9,MolFormer,0.6541743327777779
1,0,MolFormer,0.8891730909090908
1,1,MolFormer,0.6909132147222222
1,2,MolFormer,0.7239131819444444
1,3,MolFormer,1.0310642058333335
1,4,MolFormer,1.0689953855555556
